ticker,yearreport,lengthreport,net_profit/loss_before_tax,depreciation_and_amortisation,provision_for_credit_losses,unrealized_foreign_exchange_gain/loss,profit/loss_from_investing_activities,interest_expense,interest_income_and_dividends,operating_profit_before_changes_in_working_capital,increase/decrease_in_receivables,increase/decrease_in_inventories,increase/decrease_in_payables,increase/decrease_in_prepaid_expenses,interest_paid,business_income_tax_paid,other_receipts_from_operating_activities,other_payments_on_operating_activities,net_cash_inflows/outflows_from_operating_activities,purchase_of_fixed_assets,proceeds_from_disposal_of_fixed_assets,"loans_granted,_purchases_of_debt_instruments_(bn._vnd)","collection_of_loans,_proceeds_from_sales_of_debts_instruments_(bn._vnd)",investment_in_other_entities,proceeds_from_divestment_in_other_entities,gain_on_dividend,net_cash_flows_from_investing_activities,increase_in_charter_captial,payments_for_share_repurchases,proceeds_from_borrowings,repayment_of_borrowings,finance_lease_principal_payments,dividends_paid,cash_flows_from_financial_activities,net_increase/decrease_in_cash_and_cash_equivalents,cash_and_cash_equivalents,foreign_exchange_differences_adjustment,cash_and_cash_equivalents_at_the_end_of_period
HPG,2025,2,4972383493663,1617247528510,-59927342891,309920317236,-305813548010,439112631420,0,6972923079928,-1835418390802,-2468299455608,1394149750385,-230901936807,-473975259473,-5880614099,0,-67494643569,3285102529955,-4519331143893,27600517030,-9102740296773,7723722972602,0,15000000000,315786623119,-5539961327915,525100000000,-52020000,37133314442108,-32170574605521,0,-3574672793,5484213143794,3229354345834,7459035818129,-365886705,10688024277258
HPG,2025,1,3839765349020,1801603135468,11289113084,132616469869,-244726801802,627024360692,0,6167571626331,-4134982417163,-384608710947,-1984736525485,48974724977,-599757525250,-1670270526989,0,-220131091954,-2777940446480,-6168853176586,8330267880,-5526332899179,8422939517832,0,226687184000,308719460282,-2728509645771,100000000,0,42070537735752,-35992323059515,0,-22127134,6078292549103,571842456852,6887646139852,-452778575,7459035818129
HPG,2024,4,3286676100696,1693028331093,-61035121811,227751228845,-765370789609,562492663846,0,4955838305029,971968926351,-6209983876378,4023222874211,129299221688,-529644932828,-51647870077,447272727,-194420019511,3095079901212,-7257089099480,443699573180,-6360476824332,3871936250811,0,31246619001,187519990129,-9083163490691,103000000000,-17140000,42414841815225,-38146312226161,0,-2343960741,4369168488323,-1618915101156,8500998079280,5563161728,6887646139852
HPG,2024,3,3412385133844,1771185761423,-3156807492,-206784225956,103011663888,525114798901,0,5595706353956,377494427161,-3510769453171,-1584866701776,46606159449,-567728987154,-12405917246,0,-79428476117,264607405102,-9401555834547,-332578559029,-6770711616439,5612320000000,0,0,305754643259,-10586771366756,90136000000,0,45987162684520,-40276725834290,0,-1606676054,5798966174176,-4523197787478,13032037853283,-7841986525,8500998079280
HPG,2024,2,3733225669765,1729640974153,162022519725,-30290605919,406339912654,564134360513,0,6571122801543,-618194847084,811031696508,-3565852264665,46814900835,-613526452453,-23605606592,0,-107787269936,2500002958156,-4038554034033,2758324845,-6908419972602,13728665397260,0,0,-278698869753,2505750845717,0,-2420000,41954146315610,-46356254460746,0,-1658737650,-4403769302786,601984501087,12428888036237,1165315959,13032037853283
HPG,2024,1,3261215356873,1721816264528,10669816792,182794183008,-1462291190778,635618987620,0,4349823418043,-2549940352860,-1850079271655,3121851473748,-450426491575,-621521923912,-849105119441,0,-401971341603,748630390745,-14797827829267,1139714227578,-8465849467273,8374734396151,0,0,1125274432093,-12623954240718,40000000000,-100000000,44109437021720,-32099643158043,0,638363554,12050332227231,175008377258,12252001160884,1878498095,12428888036237
HPG,2023,4,3384568877748,1741097551767,-149104888269,-150012871876,33606206324,710943681004,0,5571098556698,-2360010541026,-897339146679,4060504082997,-14640876626,-734328822276,-116083513736,0,-98926312478,5410273426874,-7374116374071,151206936404,-12287268028348,9589411407600,0,-526054585230,72907729152,-10373912914493,200000000,-70560000,37040198581692,-29499317057488,0,-7623503418,7533387460786,2569747973167,9696669423876,983763841,12267401160884
HPG,2023,3,2174230121892,1721774737926,15972161435,327203956815,700000000,855978191830,0,5089809199246,1302169808975,-1539457455806,-3179803871108,2482635158,-894619601392,-27416666170,0,-120152763848,633011285055,-4360794062575,43509632440,-7534337000000,10386022792583,0,0,188313343369,-1277285294183,0,-523080000,30104574327511,-33016730316247,0,-13172335,-2912692241071,-3556966250199,13252855086239,780587836,9696669423876
HPG,2023,2,1701886953766,1662354940325,-19798182146,186695827590,807566211073,1028566971432,0,5373322692692,-732945984778,2333570335010,-1147183496853,-180499266765,-1022641263764,-9619675838,0,-82665294478,4531338045226,-2799215791708,-72804191977,-8820154397260,13396144607939,0,0,-681536002504,1022434224490,0,-1750000000,30250075237636,-30416146549804,0,-309845372,-168131157540,5385641112176,7868451566326,-1237592263,13252855086239
HPG,2023,1,532042789767,1648185800262,-941109168744,-70212986899,-1917697628031,989588839615,0,240797645970,-3812875642667,1129379609411,2852581088093,118008526448,-1008860534438,-406872658989,0,-215138161878,-1102980128050,-2818742500442,85782979543,-11146363396151,9915617722611,0,0,1791187123736,-2172518070703,500000000,0,29747246722377,-26927061343325,0,-67273509,2820618105543,-454880093210,8324588920227,-1257260691,7868451566326
