cp,nam,ky,tang_truong_doanh_thu_(%),doanh_thu_(đong),loi_nhuan_sau_thue_cua_co_đong_cong_ty_me_(đong),tang_truong_loi_nhuan_(%),thu_nhap_tai_chinh,chi_phi_tien_lai_vay,doanh_thu_ban_hang_va_cung_cap_dich_vu,cac_khoan_giam_tru_doanh_thu,doanh_thu_thuan,gia_von_hang_ban,lai_gop,chi_phi_tai_chinh,lai/lo_tu_cong_ty_lien_doanh,chi_phi_ban_hang,chi_phi_quan_ly_dn,lai/lo_tu_hoat_đong_kinh_doanh,thu_nhap_khac,"lai_lo_trong_cong_ty_lien_doanh,_lien_ket",thu_nhap/chi_phi_khac,loi_nhuan_khac,ln_truoc_thue,chi_phi_thue_tndn_hien_hanh,chi_phi_thue_tndn_hoan_lai,loi_nhuan_thuan,co_đong_thieu_so,co_đong_cua_cong_ty_me
HPG,2025,2,-0.09139768141793236,36286185846409,4256487211764,0.2823590748446197,498183728007,-439112631420,36286185846409,-375666735200,35910519111209,-29320796625500,6589722485709,-979462100729,0,-825371907199,-322285873598,4960786332190,-41431471594,0,53028633067,11597161473,4972383493663,-684398735485,-23460652646,4264524105532,8036893768,4256487211764
HPG,2025,1,0.2205692857113319,37950635502050,3344284694388,0.16501702335608173,438057240540,-627024360692,37950635502050,-328960948472,37621674553578,-32197520628446,5424153925132,-970569640998,0,-737815718816,-347243794856,3806582011002,153981783497,0,-120798445479,33183338018,3839765349020,-512281294123,22321361187,3349805416084,5520721696,3344284694388
HPG,2024,4,0.008808403406745484,35232197602514,2808645369171,-0.0552123014413973,700560102056,-562492663846,35232197602514,-741215175825,34490982426689,-30126073473488,4364908953201,-1015139809937,0,-230212058532,-517318083678,3302799103110,225300683318,0,-241423685732,-16123002414,3286676100696,-503217741562,26135956217,2809594315351,948946180,2808645369171
HPG,2024,3,0.19240388499385191,34300352057045,3022946632050,0.5078957678865839,528453174917,-525114798901,34300352057045,-344091771518,33956260285527,-29225083561286,4731176724241,-832902574260,0,-720208188679,-321501544741,3385017591478,220917018524,0,-193549476158,27367542366,3412385133844,-427815885551,37102736610,3021671984903,-1274647147,3022946632050
HPG,2024,2,0.3401657991487973,39936268160790,3319263141862,1.2734015514923924,645060096530,-564134360513,39936268160790,-380758333336,39555509827454,-34308029337809,5247480489645,-1065091915406,0,-746509647378,-389417899107,3691521124284,205176515397,0,-163471969916,41704545481,3733225669765,-419294315425,5643364205,3319574718545,311576683,3319263141862
HPG,2024,1,0.15734412048818466,31092569628223,2870588692991,6.221656278102096,751955374195,-635618987620,31092569628223,-240210036506,30852359591717,-26698376631120,4153982960597,-1060613282413,0,-640378790675,-317278495246,2887667766458,508375467854,0,-134827877439,373547590415,3261215356873,-415478064702,23445310301,2869182602472,-1406090519,2870588692991
HPG,2023,4,0.33240653023885675,34924567919473,2972779359274,2.4926974471340633,732316277875,-710943681004,34924567919473,-540762991718,34383804927755,-29912194884366,4471610043389,-1127386435227,0,-366721269183,-394171267892,3315647348962,231710831608,0,-162789302822,68921528786,3384568877748,-356399560815,-59198534048,2968970782885,-3808576389,2972779359274
HPG,2023,3,-0.16477615472274007,28765716456234,2004745086782,2.1299854014608592,850624544181,-855978191830,28765716456234,-281628655637,28484087800597,-24889281213593,3594806587004,-1438378265232,0,-577844331409,-301003551619,2128204982925,203224277209,0,-157199138242,46025138967,2174230121892,-214353855084,40486817524,2000363084332,-4382002450,2004745086782
HPG,2023,2,-0.20985075966022412,29799498081622,1460042613098,-0.6379071193126109,732942078525,-1028566971432,29799498081622,-303114703307,29496383378315,-26301396413465,3194986964850,-1341484846242,0,-539813064291,-331614130813,1715017002029,190562727467,0,-203692775730,-13130048263,1701886953766,-207379564722,-46682549251,1447824839793,-12217773305,1460042613098
HPG,2023,1,-0.39498607256009666,26865449158810,397497275202,-0.9516247787628598,903451916285,-989588839615,26865449158810,-276697371823,26588751786987,-24912314686658,1676437100329,-1330510709605,0,-476983465069,-280501386549,491893455391,146475629211,0,-106326294835,40149334376,532042789767,-295418907438,146605725742,383229608071,-14267667131,397497275202
