"('meta',_'cp')","('meta',_'nam')","('meta',_'ky')","('chi_tieu_co_cau_nguon_von',_'(vay_nh+dh)/vcsh')","('chi_tieu_co_cau_nguon_von',_'no/vcsh')","('chi_tieu_co_cau_nguon_von',_'tscđ_/_von_csh')","('chi_tieu_co_cau_nguon_von',_'von_csh/von_đieu_le')","('chi_tieu_hieu_qua_hoat_đong',_'vong_quay_tai_san')","('chi_tieu_hieu_qua_hoat_đong',_'vong_quay_tscđ')","('chi_tieu_hieu_qua_hoat_đong',_'so_ngay_thu_tien_binh_quan')","('chi_tieu_hieu_qua_hoat_đong',_'so_ngay_ton_kho_binh_quan')","('chi_tieu_hieu_qua_hoat_đong',_'so_ngay_thanh_toan_binh_quan')","('chi_tieu_hieu_qua_hoat_đong',_'chu_ky_tien')","('chi_tieu_hieu_qua_hoat_đong',_'vong_quay_hang_ton_kho')","('chi_tieu_kha_nang_sinh_loi',_'bien_ebit_(%)')","('chi_tieu_kha_nang_sinh_loi',_'bien_loi_nhuan_gop_(%)')","('chi_tieu_kha_nang_sinh_loi',_'bien_loi_nhuan_rong_(%)')","('chi_tieu_kha_nang_sinh_loi',_'roe_(%)')","('chi_tieu_kha_nang_sinh_loi',_'roic_(%)')","('chi_tieu_kha_nang_sinh_loi',_'roa_(%)')","('chi_tieu_kha_nang_sinh_loi',_'ebitda_(ty_đong)')","('chi_tieu_kha_nang_sinh_loi',_'ebit_(ty_đong)')","('chi_tieu_kha_nang_sinh_loi',_'ty_suat_co_tuc_(%)')","('chi_tieu_thanh_khoan',_'chi_so_thanh_toan_hien_thoi')","('chi_tieu_thanh_khoan',_'chi_so_thanh_toan_tien_mat')","('chi_tieu_thanh_khoan',_'chi_so_thanh_toan_nhanh')","('chi_tieu_thanh_khoan',_'kha_nang_chi_tra_lai_vay')","('chi_tieu_thanh_khoan',_'đon_bay_tai_chinh')","('chi_tieu_đinh_gia',_'von_hoa_(ty_đong)')","('chi_tieu_đinh_gia',_'so_cp_luu_hanh_(trieu_cp)')","('chi_tieu_đinh_gia',_'p/e')","('chi_tieu_đinh_gia',_'p/b')","('chi_tieu_đinh_gia',_'p/s')","('chi_tieu_đinh_gia',_'p/cash_flow')","('chi_tieu_đinh_gia',_'eps_(vnd)')","('chi_tieu_đinh_gia',_'bvps_(vnd)')","('chi_tieu_đinh_gia',_'ev/ebitda')"
HPG,2024,5,0.9598431109,0.9580870915,0.5881366071204231,1.493687290772255,0.6736087489,1.9918003452,13.60541001607012,122.5495936319,53.1351004674,189.29010411537013,2.9783860491,0.10525161224038555,0.1332147505680692,0.08657545013322313,0.1107318516,0.0739571933,0.0583179807,21530395750845,14614724419648,0.0,1.1521966898,0.091560304,0.1932256487,-6.389339342587312,1.9580870915245219,182612943210000,6396250200,15.51321535,1.596874645,1.3151330218,27.633789693,1879.4517819321702,17878.6732500444,12.0150335151
HPG,2023,5,0.7368996541,0.8260319443,0.7001252209129892,1.3398068753362853,0.6643228917,1.6656438641,13.743728920325443,121.113829617,48.4472009226,183.30475945992544,3.0136938214,0.08128576800408491,0.10876428221010605,0.057460196309308424,0.0687708238,0.0574803022,0.0381721238,16443221709448,9669188228747,0.0,1.1566550005,0.1713243286,0.3209763175,-2.697065191145228,1.8260319442539836,154964038905000,5814785700,23.8587381014,1.5078627976,1.3027330338,17.9293633105,1175.4628092925248,17674.0218290225,12.655247487
HPG,2022,5,0.7184461644,0.7722433648,0.7369758530019335,1.2522098519032887,0.8113634947,2.01849236,10.236472226432511,114.3460103553,51.0055124563,175.58799503803252,3.192065896,0.0924845695071007,0.11854545116288605,0.0599926036420814,0.090911048,0.0849159077,0.0486758085,19850316769753,13078175872803,0.0,1.2906019798,0.1334381147,0.2920147825,-4.2411513004259636,1.7722433648274418,162523260315000,5814785700,19.2533208291,1.6928205373,1.1493111816,13.2373407519,1458.9549798939279,16510.9055471241,10.6849172968
HPG,2021,5,0.7785527659,0.9633751294,0.7631677066961179,1.1827376634383973,0.9664621512,2.220068467,10.879032684180842,115.5522345145,62.6696106349,189.10087783358085,3.1587446278,0.2516310302565392,0.2746423517741756,0.23034601533191487,0.4597073139,0.2544987176,0.2226207055,43740596056502,37664079761085,0.0277777778,1.2817279677,0.3059023256,0.4102142254,-14.911605409546414,1.963375129374824,80512608708000,4472922706,2.4075194055,0.8884067895,0.5378989957,3.0130934446,7708.191145626293,20260.9887867917,2.6349391325
HPG,2020,5,1.2071127782,1.2207347002,1.1070904045692507,0.7715464758081579,0.7725961926,1.8617380829,13.465824302827356,117.5092917059,71.0207126012,201.99582860992734,3.1061373505,0.19000488457367834,0.20976879536760712,0.14925125852483315,0.2513923883,0.1510473654,0.1153109541,21898737562815,17122955841546,0.0107758621,1.0918137717,0.2635121116,0.3813527048,-7.812704695558507,2.220734700207219,153736315377600,3313282659,11.7875156035,2.6025666107,1.7059350692,13.267713783,4059.5087824084135,17828.5542467456,8.867265921
HPG,2019,5,1.1827962056,1.1298010974,0.6539379299265257,0.6225893912688769,0.707317033,2.8914477571,14.28189867966571,117.1004901177,85.2584156879,216.6408044852657,3.1169809762,0.1530523004580736,0.1757098615641688,0.118247825640409,0.1702856717,0.1153480451,0.0836387012,12336265404756,9743032831727,0.009380863,1.1279540974,0.168428212,0.3004090537,-10.401330785945289,2.1298010974000814,147165250329500,2761074115,20.3282563334,3.0901863561,2.3118037781,19.074793587,2726.2733828765768,17248.1507126686,14.5343908294
HPG,2018,5,0.9136882353,0.9255865952,0.3146635257924963,0.5292571240395414,0.8508724371,4.2983595407,13.994310717118632,107.7733495489,67.0549763395,188.82263660551865,3.3867370879,0.1889446130741062,0.20901813205446312,0.15353792950309617,0.2348110649,0.162485986,0.1306411923,12809592322260,10549998023992,0.0,1.1180667099,0.111132732,0.2529536106,-19.54205483034663,1.9255865951994902,113204251947800,2123907166,13.6374000909,2.7954436106,2.0274253639,14.8127655226,4036.43546556686,19066.741249268,10.5385359494
HPG,2017,5,0.4516234864,0.6366094144,0.40736982851883563,0.42209268888617835,1.0704317111,3.5689835913,14.020875098903263,114.4455387542,40.8799028212,169.34631667430327,3.1892898926,0.20843744400899536,0.23018157837158815,0.17344841217573564,0.3064881502,0.2120391196,0.1856646806,11626481720481,9621825011217,0.0,1.7855591587,0.2302756925,0.5842452918,-20.057688508283004,1.6366094143895038,80860310700000,1517079000,10.099116031,2.5044257714,1.75167564,13.3469805661,5277.689635046691,21282.3237197404,7.7044530195
HPG,2016,5,0.3744318833,0.6738597134,0.638301925786942,0.25861962586978376,1.1333672031,3.1877583541,15.120566750648196,130.9240706846,47.4041255184,193.4487629536482,2.7878754311,0.23603547719205545,0.2629121313400804,0.19836133499553574,0.3847718326,0.2985872204,0.2248162314,9530344198771,7856018392596,0.0,1.5171260751,0.3803632054,0.5801818523,-28.062031264933047,1.6738597133500763,44925235154800,842874956,6.8046866215,2.2753206309,1.3497867225,6.5885145066,7832.836832171817,23425.269949092,4.9134579091
HPG,2015,5,0.5249857862,0.7631353989,0.5676086842615701,0.1884799002250268,1.1535845462,3.161040339,16.34233338001883,123.6414364513,38.1257774917,178.10954732301883,2.952084758,0.1606022704535115,0.20376606488599522,0.12696140979524959,0.2654307216,0.2067767616,0.1464607203,5690594491572,4409003228168,0.0375234522,1.1923723157,0.2374463677,0.3983833675,-17.542134681178215,1.7631353988703236,39066310632700,732951419,11.2083562595,2.704712611,1.4230287122,8.599327437,4755.380607632059,19706.3450599705,7.6528675838
