cp,nam,ky,tai_san_ngan_han_(đong),tien_va_tuong_đuong_tien_(đong),gia_tri_thuan_đau_tu_ngan_han_(đong),cac_khoan_phai_thu_ngan_han_(đong),hang_ton_kho_rong,tai_san_luu_đong_khac,tai_san_dai_han_(đong),phai_thu_ve_cho_vay_dai_han_(đong),tai_san_co_đinh_(đong),gia_tri_rong_tai_san_đau_tu,đau_tu_dai_han_(đong),loi_the_thuong_mai,tai_san_dai_han_khac,tong_cong_tai_san_(đong),no_phai_tra_(đong),no_ngan_han_(đong),no_dai_han_(đong),von_chu_so_huu_(đong),von_va_cac_quy_(đong),cac_quy_khac,lai_chua_phan_phoi_(đong),loi_ich_cua_co_đong_thieu_so,tong_cong_nguon_von_(đong),tra_truoc_cho_nguoi_ban_ngan_han_(đong),phai_thu_ve_cho_vay_ngan_han_(đong),"hang_ton_kho,_rong_(đong)",tai_san_luu_đong_khac_(đong),quy_đau_tu_va_phat_trien_(đong),co_phieu_pho_thong_(đong),von_gop_cua_chu_so_huu_(đong),vay_va_no_thue_tai_chinh_dai_han_(đong),nguoi_mua_tra_tien_truoc_ngan_han_(đong),vay_va_no_thue_tai_chinh_ngan_han_(đong),loi_the_thuong_mai_(đong),tra_truoc_dai_han_(đong),tai_san_dai_han_khac_(đong),phai_thu_dai_han_khac_(đong),phai_thu_dai_han_(đong)
VNM,2025,2,38255091705279,2498443286245,22249418458587,6147236082985,7047730548255,312263329207,17027569539096,0,12784785512923,52629612552,813459142512,0,1861528674115,55282661244375,19595608095818,19190691020760,404917075058,35687053148557,35687053148557,746826728845,9620701471578,3912698835610,55282661244375,596144052565,0,7090237799909,0,78722924597,20899554450000,20899554450000,152078435000,410601427538,9636808735983,953706759621,853505075208,94575639081,20202578311,20530844673
VNM,2025,1,38407988421683,2538024316626,23170818696485,5469228387577,6979212103573,250704917422,16605801806083,0,12309661362750,53123702862,709385535593,0,1853359584072,55013790227766,17391301675751,16981777958867,409523716884,37622488552015,37622488552015,746826728845,4474317011269,3925281266941,55013790227766,438005266850,0,7015839015752,0,7221110105727,20899554450000,20899554450000,153956088000,123043188304,10060066017395,1015202316174,785471676757,94555479081,17985169594,18364622300
VNM,2024,4,37553650065098,2225943732075,23260088671767,6233758612009,5686840161996,147018887251,17495411471963,0,12550564799221,53617793172,1373189677193,0,1960671058977,55049061537061,18874658707398,18459546837640,415111869758,36174402829663,36174402829663,499080803215,3471224745772,3895583288658,55049061537061,566479222775,0,5723932310689,0,7079114621362,20899554450000,20899554450000,157903902450,191336029327,9115435107250,1076022097381,792476015491,94548675081,17193985694,17592137763
VNM,2024,3,40582371278735,2616234711174,25982843560980,5606208371600,6103016741628,274067893353,17094709027717,0,11854249093819,54111883464,1279281871385,0,1964819160108,57677080306452,22432804394570,22021271584074,411532810496,35244275911882,35244275911882,499080803215,2870255668807,3873192446288,57677080306452,367957536152,0,6131878698983,0,6863056624805,20899554450000,20899554450000,157809038000,146441611517,8291496866090,1138317394539,794384673697,94519479081,16005712689,16564396401
VNM,2024,2,37332761258942,1198562887528,23030876331498,6344861898250,6524270542824,234189598842,16861192929052,0,12295719976946,54605973774,831442109832,0,2028619337197,54193954187994,15856506854537,15403310205136,453196649401,38337447333457,38337447333457,499080803215,6000389351529,3991321826705,54193954187994,339915869823,0,6551775627864,0,6624903112567,20899554450000,20899554450000,183388966131,97078241927,7794314406895,1199157602325,818508689475,102012967081,16830343785,17417281595
VNM,2024,1,35013917574413,1788254863348,20268129028720,5868614319329,6780799942377,308119420639,16639952197317,0,12472420651267,55100064084,691579094274,0,2115992745416,51653869771730,15786279136236,15294387986523,491891149713,35867590635494,35867590635494,499080803215,3816256605162,4013420132830,51653869771730,414596137009,0,6807924664755,0,6365526939523,20899554450000,20899554450000,211808624280,148395646131,6616831614710,1260542631131,834078714989,101994859081,16667638485,16667638485
VNM,2023,4,35935879621477,2912027359925,20137243800460,6529705184034,6128081805088,228821471970,16737491482983,0,12689652377511,55594154394,831227597345,0,2207961712860,52673371104460,17647627338990,17138689974862,508937364128,35025743765470,35025743765470,499080803215,3926232003987,3328929059319,52673371104460,655619313409,0,6165935294543,0,6163736586996,20899554450000,20899554450000,238476074100,164712782108,8217757172267,1321927659937,871585543337,101975059081,16131990975,16131990975
VNM,2023,3,37680161943052,6875567986039,19012123617176,5931433000484,5697772718120,163264621233,17287274060546,0,12056272942904,56088244686,1424817180754,0,2197526932930,54967436003598,20964371994291,20399327964197,565044030094,34003064009307,34003064009307,202658418215,3411311506574,3347498534087,54967436003598,633286108202,0,5723674480049,0,5932206859820,20899554450000,20899554450000,282904335540,200125679398,6873932117860,1383312688743,814214244187,101976499081,16146741451,16146741451
VNM,2023,2,33403479517290,1582506692207,19083000543582,6142392930802,6319892419521,275686931178,17565302240360,0,11821447407199,56582334996,1529822285849,0,2248973389561,50968781757650,14308732050657,13742782382772,565949667885,36660049706993,36660049706993,202658418215,6557754122099,3191807512910,50968781757650,762802524795,0,6346256682126,0,5679501872971,20899554450000,20899554450000,279412788750,315814573879,6128144184250,1444697717550,804275672011,101950939081,16225171701,16225171701
VNM,2023,1,32394853632375,2011202511723,16801331801284,6619266952011,6704642178199,258410189158,16869931859724,0,11893893630404,57088071395,755781470427,0,2316641242760,49264785492099,14754559329281,14407882880499,346676448782,34510226162818,34510226162818,202658418215,4840235487374,3008635837602,49264785492099,799563355449,0,6731269100954,0,5444399294521,20899554450000,20899554450000,61054012500,376266587860,6889265980740,1506082746356,807403361320,101946619081,38388850315,38388850315
