cp,nam,ky,tang_truong_doanh_thu_(%),doanh_thu_(đong),loi_nhuan_sau_thue_cua_co_đong_cong_ty_me_(đong),tang_truong_loi_nhuan_(%),thu_nhap_tai_chinh,chi_phi_tien_lai_vay,doanh_thu_ban_hang_va_cung_cap_dich_vu,cac_khoan_giam_tru_doanh_thu,doanh_thu_thuan,gia_von_hang_ban,lai_gop,chi_phi_tai_chinh,lai/lo_tu_cong_ty_lien_doanh,chi_phi_ban_hang,chi_phi_quan_ly_dn,lai/lo_tu_hoat_đong_kinh_doanh,thu_nhap_khac,"lai_lo_trong_cong_ty_lien_doanh,_lien_ket",thu_nhap/chi_phi_khac,loi_nhuan_khac,ln_truoc_thue,chi_phi_thue_tndn_hien_hanh,chi_phi_thue_tndn_hoan_lai,loi_nhuan_thuan,co_đong_thieu_so,co_đong_cua_cong_ty_me
VNM,2025,2,0.004762537367465226,16744609675338,2474585297998,-0.07335388573873616,376333100451,-85204331624,16744609675338,-20012195784,16724597479554,-9702919554414,7021677925140,-109547632124,3760327370,-3711347500232,-462277916899,3118598303706,32160581071,0,-54670351500,-22509770429,3096088533277,-613806796858,6302943861,2488584680280,13999382282,2474585297998
VNM,2025,1,-0.08208809994317143,12965404856436,1568482188101,-0.2853210930469386,366337215645,-75155207673,12965404856436,-30899523580,12934505332856,-7724022892977,5210482439879,-41765368480,16189054400,-3169757183300,-430929441463,1950556716681,48165047774,0,-47425568932,739478842,1951296195523,-326819068821,-37203858648,1587273268054,18791079953,1568482188101
VNM,2024,4,-0.009302825590283347,15485051436522,2123649268482,-0.08700063501693599,394631907537,-66109861870,15485051436522,-7978311081,15477073125441,-9267382480456,6209690644985,-140107172656,23396009808,-3351121538996,-554570624982,2581919225696,121552139821,0,-60102594612,61449545209,2643368770905,-555142311297,58564884369,2146791343977,23142075495,2123649268482
VNM,2024,3,-0.008467768865269431,15548707382507,2403519104884,-0.03560428013472952,430476492135,-62624826693,15548707382507,-11370069034,15537337313473,-9135891859183,6401445454290,-97962433824,-5059420447,-3336422575566,-421729399873,2970748116715,37227938682,0,-66174414919,-28946476237,2941801640478,-573837659232,35189074022,2403153055268,-366049616,2403519104884
VNM,2024,2,0.09546487994054881,16665240843085,2670475017284,0.21450856537150517,373183676511,-64294446778,16665240843085,-9453070612,16655787772473,-9588268993189,7067518779284,-87679063003,3339877558,-3574887401068,-455702658579,3325773210703,34843947651,0,-51974230124,-17130282473,3308642928230,-614203629137,1525922021,2695965221114,25490203830,2670475017284
VNM,2024,1,0.012245261965169237,14124890259766,2194666965600,0.18200444627520718,387368759884,-86395425954,14124890259766,-12478942708,14112411317058,-8200889872493,5911521444565,-102489879376,10326196929,-3095275281176,-395914155553,2715537085273,37007652440,0,-46704335991,-9696683551,2705840401722,-497675570285,-1181461848,2206983369589,12316403989,2194666965600
VNM,2023,4,0.03645218508373689,15630458869279,2326013960066,0.24443964353808442,428868705495,-96231603161,15630458869279,-11747924789,15618710944490,-9177098353000,6441612591490,-118785839541,-28037460234,-3493712827314,-504122733414,2725822436482,240821530736,0,-114579366839,126242163897,2852064600379,-527166047542,25806937118,2350705489955,24691529889,2326013960066
VNM,2023,3,-0.025637866435507,15681494654705,2492254015001,0.08434354339244318,483829853834,-79600679532,15681494654705,-44506970023,15636987684682,-9082087041307,6554900643375,-110138422955,-27632597830,-3382491600883,-432197136598,3086270738943,37955648630,0,-48436566422,-10480917792,3075789821151,-548401617475,5876182583,2533264386259,41010371258,2492254015001
VNM,2023,2,0.01694775378652382,15212939408874,2198811184561,0.055607829067686736,383963944773,-95970637757,15212939408874,-18114453181,15194824955693,-9044632886807,6150192068886,-115957689789,-11201004578,-3199738372776,-430514547776,2776744398740,33520380483,0,-82266235220,-48745854737,2727998544003,-494907485041,-3933169203,2229157889759,30346705198,2198811184561
VNM,2023,1,0.0009717734315233455,13954019633882,1856733257236,-0.180437681863227,419705072231,-82291916805,13954019633882,-35627707242,13918391926640,-8520365614981,5398026311659,-158240818929,-13760236004,-2942150310906,-388784710409,2314795307642,41111331702,0,-43860213391,-2748881689,2312046425953,-377888254570,-27931772305,1906226399078,49493141842,1856733257236
