cp,nam,tang_truong_doanh_thu_(%),doanh_thu_(đong),loi_nhuan_sau_thue_cua_co_đong_cong_ty_me_(đong),tang_truong_loi_nhuan_(%),thu_nhap_tai_chinh,chi_phi_tien_lai_vay,doanh_thu_ban_hang_va_cung_cap_dich_vu,cac_khoan_giam_tru_doanh_thu,doanh_thu_thuan,gia_von_hang_ban,lai_gop,chi_phi_tai_chinh,lai/lo_tu_cong_ty_lien_doanh,chi_phi_ban_hang,chi_phi_quan_ly_dn,lai/lo_tu_hoat_đong_kinh_doanh,thu_nhap_khac,"lai_lo_trong_cong_ty_lien_doanh,_lien_ket",thu_nhap/chi_phi_khac,loi_nhuan_khac,ln_truoc_thue,chi_phi_thue_tndn_hien_hanh,chi_phi_thue_tndn_hoan_lai,loi_nhuan_thuan,co_đong_thieu_so,co_đong_cua_cong_ty_me
VNM,2024,0.022238782049128013,61823889921880,9392310356250,0.05843012169162314,1585660836067,-279424561295,61823889921880,-41280393435,61782609528445,-36192433205321,25590176323124,-428238548859,32002663848,-13357706796806,-1827916838987,11593977638387,230631678594,0,-224955575646,5676102948,11599653741335,-2240859169951,94098418564,9452892989948,60582633698,9392310356250
VNM,2023,0.006727992650797531,60478912566740,8873812416864,0.04201358936562294,1716367576333,-354094837255,60478912566740,-109997055235,60368915511505,-35824183896095,24544731615410,-503122771214,-80631298646,-13018093111879,-1755619128197,10903632881807,353408891551,0,-289142381872,64266509679,10967899391486,-1948363404628,-181821807,9019354165051,145541748187,8873812416864
VNM,2022,-0.01536325288982742,60074730223299,8516023694342,-0.1914510125615499,1379904407740,-166039091744,60074730223299,-118483025881,59956247197418,-36059015690711,23897231506707,-617537182995,-24475976403,-12548212246871,-1595845681078,10491064827100,289021799127,0,-284551949482,4469849645,10495534676745,-1956248296285,38288939248,8577575319708,61551625366,8516023694342
VNM,2021,0.021585783231447688,61012074147764,10532477099899,-0.05103729877920185,1214683819394,-88799090663,61012074147764,-92909301618,60919164846146,-34640863353839,26278301492307,-202338232232,-45044429889,-12950670402404,-1567312426985,12727619820191,422823192290,0,-228207525562,194615666728,12922235486919,-2320981674175,31282159734,10632535972478,100058872579,10532477099899
VNM,2020,0.05891250235360362,59722908393236,11098936856369,0.048932292632721565,1581092655317,-143818465177,59722908393236,-86622167689,59636286225547,-31967662837839,27668623387708,-308569328835,3882188676,-13447492622165,-1958155456285,13539380824416,212386195135,0,-233230932527,-20844737392,13518536087024,-2310674009890,27870156991,11235732234125,136795377756,11098936856369
VNM,2019,0.07165218394449564,56400229726717,10581175671989,0.03460299128222766,807316707483,-108824893987,56400229726717,-82106963973,56318122762744,-29745906112117,26572216650627,-186969681828,-5716591103,-12993454552852,-1396302416955,12797090115372,249446259179,0,-250826735994,-1380476815,12795709638557,-2238365796113,-3011961553,10554331880891,-26843791098,10581175671989
VNM,2018,0.0292233028532405,52629230427284,10227281151464,-0.0066420184022462,759917391001,-51367418852,52629230427284,-67280456692,52561949970592,-27950543501501,24611406469091,-118007001674,22433720557,-12265936906433,-1133300231790,11876513440752,450247329980,0,-275064504609,175182825371,12051696266123,-1874905225483,28838670599,10205629711239,-21651440225,10227281151464
VNM,2017,0.08878731795701644,51134899765079,10295665148846,0.10110189762103892,816316778535,-29438568563,51134899765079,-93823879970,51041075885109,-26806931066476,24234144818633,-87037548276,67133981642,-11536533571799,-1267606271090,12226418187645,213080586430,0,-210553389939,2527196491,12228945384136,-1967066705229,16295874259,10278174553166,-17490595680,10295665148846
VNM,2016,0.16762724576086654,46965003101825,9350329130383,0.20286072315062653,722560775263,-46499350049,46965003101825,-170663701551,46794339400274,-24458633395995,22335706004279,-102450313571,16478714797,-10758752992255,-1053251528978,11160290659535,182321601244,0,-104985689883,77335911361,11237626570896,-1883267418844,9470625438,9363829777490,13500647107,9350329130383
VNM,2015,0.143106080085252,40222599525948,7773409631243,0.28087921376867775,648981742038,-31277451964,40222599525948,-142215015202,40080384510746,-23817969568510,16262414942236,-162840107939,12898974260,-6257506620133,-1232722578041,9271226352421,166272240339,0,-70357536375,95914703964,9367141056385,-1471975323593,-125612981095,7769552751697,-3856879546,7773409631243
VNM,2014,0.11400944023712242,35187110126252,6068807696841,-0.07121463839035973,573569553162,-39581737758,35187110126252,-115094611556,35072015514696,-23680196877376,11391818637320,-81697752419,59887377298,-3684398847607,-795365066390,7463813901364,272372842337,0,-122817882783,149554959554,7613368860918,-1580658440379,35492545769,6068202966308,-604730533,6068807696841
VNM,2013,0.0,31586007133622,6534133662834,0.0,507347709516,-104027048,31586007133622,-637405006316,30948602127306,-19765793680474,11182808446832,-90790817490,0,-3276431628666,-611255506250,7711678203942,313457899019,43940615792,-58819862034,254638036985,8010256856719,-1483448216660,7298675568,6534107315627,-26347207,6534133662834
