time,open,high,low,close,volume
2015-01-05,29.3,29.46,29.15,29.3,70290
2015-01-06,29.3,29.61,29.0,29.3,100890
2015-01-07,29.3,30.07,29.3,29.91,194130
2015-01-08,29.91,30.22,29.76,30.07,70650
2015-01-09,30.37,31.44,30.22,31.44,290390
2015-01-12,31.44,31.44,30.53,30.53,148470
2015-01-13,30.53,31.14,30.37,31.14,84550
2015-01-14,31.44,31.44,30.53,30.83,87550
2015-01-15,30.83,30.83,30.37,30.53,86090
2015-01-16,30.53,30.53,30.37,30.53,33740
2015-01-19,30.53,30.53,30.22,30.37,60950
2015-01-20,30.07,30.83,30.07,30.53,70940
2015-01-21,30.83,31.14,30.37,30.53,80930
2015-01-22,30.53,30.83,30.37,30.37,42690
2015-01-23,30.53,30.83,30.22,30.53,82550
2015-01-26,30.53,30.83,30.37,30.37,115330
2015-01-27,30.37,31.75,30.37,31.14,259390
2015-01-28,30.83,31.44,30.83,30.83,82050
2015-01-29,30.83,32.05,30.83,32.05,402090
2015-01-30,31.75,32.05,31.44,31.75,145680
2015-02-02,31.75,32.05,31.44,31.44,87980
2015-02-03,31.44,31.75,30.83,30.83,172560
2015-02-04,30.83,31.44,30.53,31.44,97720
2015-02-05,31.44,32.05,31.14,31.44,155580
2015-02-06,31.44,31.75,31.44,31.44,49540
2015-02-09,31.44,31.75,31.14,31.75,97400
2015-02-10,31.44,31.75,31.44,31.44,77410
2015-02-11,31.44,32.05,31.44,32.05,185920
2015-02-12,31.75,32.05,31.75,32.05,58830
2015-02-13,32.05,32.36,31.75,32.36,145600
2015-02-24,32.36,32.66,32.36,32.66,103010
2015-02-25,32.66,33.27,32.66,33.27,175760
2015-02-26,33.27,33.58,32.97,32.97,157380
2015-02-27,33.27,33.27,32.66,32.97,83040
2015-03-02,32.97,33.27,32.66,32.66,103370
2015-03-03,32.66,32.97,32.36,32.97,115960
2015-03-04,32.97,33.27,32.66,33.27,74470
2015-03-05,33.27,33.27,32.66,32.97,91750
2015-03-06,32.97,33.27,32.66,32.66,114590
2015-03-09,32.66,32.97,32.66,32.66,70350
2015-03-10,32.66,32.97,32.66,32.97,144290
2015-03-11,32.97,33.27,32.66,32.97,163880
2015-03-12,32.97,33.27,32.66,33.27,130340
2015-03-13,32.97,33.27,32.66,32.97,163620
2015-03-16,32.97,33.27,32.97,33.27,153740
2015-03-17,33.27,33.27,32.97,33.27,68270
2015-03-18,32.97,33.27,32.97,33.27,86590
2015-03-19,32.97,33.27,32.66,32.97,116820
2015-03-20,32.66,32.97,32.66,32.66,81770
2015-03-23,32.66,32.97,32.36,32.66,111710
2015-03-24,32.66,32.66,32.36,32.66,95440
2015-03-25,32.66,32.66,32.05,32.66,91770
2015-03-26,32.36,32.66,32.05,32.66,97830
2015-03-27,32.36,32.66,32.05,32.05,80360
2015-03-30,32.36,32.36,31.75,32.05,71360
2015-03-31,32.05,32.36,31.75,32.36,92160
2015-04-01,32.36,32.36,31.75,32.05,151380
2015-04-02,31.75,32.36,31.75,32.36,97120
2015-04-03,32.05,32.36,31.75,32.05,56560
2015-04-06,32.05,32.36,31.75,31.75,85560
2015-04-07,31.75,32.36,31.75,32.36,115100
2015-04-08,32.36,32.66,32.36,32.36,146070
2015-04-09,32.36,32.66,32.36,32.36,74090
2015-04-10,32.36,33.27,32.36,32.97,232440
2015-04-13,33.58,33.88,32.97,33.58,275880
2015-04-14,33.88,33.88,33.27,33.58,200810
2015-04-15,33.58,33.58,32.97,33.27,128590
2015-04-16,33.27,33.27,32.97,32.97,70620
2015-04-17,32.97,33.27,32.97,32.97,60780
2015-04-20,33.27,33.27,32.66,32.97,131470
2015-04-21,32.97,33.27,32.66,32.97,45020
2015-04-22,32.97,33.27,32.66,32.97,45490
2015-04-23,32.97,33.27,32.97,32.97,48320
2015-04-24,33.27,33.27,32.97,33.27,136810
2015-04-27,33.27,33.27,32.97,32.97,75170
2015-05-04,32.66,32.97,32.36,32.36,161370
2015-05-05,32.36,32.36,31.75,32.36,212020
2015-05-06,32.36,32.66,32.05,32.36,118270
2015-05-07,32.36,32.97,32.05,32.36,99090
2015-05-08,32.36,32.66,32.36,32.36,72340
2015-05-11,32.36,32.66,32.05,32.36,86210
2015-05-12,32.36,32.66,32.05,32.05,59710
2015-05-13,32.05,32.36,32.05,32.05,45230
2015-05-14,32.05,32.36,31.75,32.05,90950
2015-05-15,32.05,32.36,31.75,32.05,98340
2015-05-18,31.75,32.05,31.44,32.05,88910
2015-05-19,31.75,32.05,31.75,32.05,46220
2015-05-20,31.75,32.66,31.75,32.66,183590
2015-05-21,32.66,32.66,32.05,32.36,70130
2015-05-22,32.36,32.66,32.36,32.66,46510
2015-05-25,32.66,32.66,32.05,32.36,98370
2015-05-26,32.36,32.36,32.05,32.36,96200
2015-05-27,32.05,32.36,32.05,32.36,59630
2015-05-28,32.05,32.36,32.05,32.36,40000
2015-05-29,32.36,32.36,32.05,32.05,54090
2015-06-01,32.36,32.66,32.05,32.36,124300
2015-06-02,32.36,32.36,32.05,32.36,30810
2015-06-03,32.36,32.66,32.05,32.36,115560
2015-06-04,32.36,32.97,32.36,32.66,89660
2015-06-05,32.66,32.97,32.36,32.66,72050
2015-06-08,32.66,32.97,32.66,32.97,63350
2015-06-09,32.97,32.97,32.66,32.66,64760
2015-06-10,32.66,32.97,32.36,32.66,59460
2015-06-11,32.66,32.97,32.66,32.97,144380
2015-06-12,32.97,33.28,32.66,32.97,86640
2015-06-15,32.66,32.97,32.66,32.97,39900
2015-06-16,32.97,32.97,32.34,32.66,74940
2015-06-17,32.66,32.97,32.34,32.66,101620
2015-06-18,32.66,32.97,32.66,32.97,117570
2015-06-19,33.28,33.59,32.97,33.28,499620
2015-06-22,33.59,34.83,33.59,34.83,736130
2015-06-23,34.83,35.14,34.21,34.52,251260
2015-06-24,34.21,34.52,33.9,33.9,245100
2015-06-25,33.9,34.52,33.59,34.52,258240
2015-06-26,34.21,36.08,34.21,35.45,1019860
2015-06-29,35.45,35.77,35.14,35.45,310320
2015-06-30,35.14,35.45,34.83,35.14,370020
2015-07-01,35.14,35.77,35.14,35.45,365250
2015-07-02,35.45,35.77,35.14,35.45,158820
2015-07-03,35.45,35.77,35.14,35.77,138790
2015-07-06,35.77,36.7,35.77,36.08,634580
2015-07-07,36.08,36.39,35.77,36.39,218990
2015-07-08,36.39,36.39,35.45,35.77,271740
2015-07-09,35.45,36.08,35.45,35.77,171970
2015-07-10,35.77,36.08,35.45,35.77,178760
2015-07-13,36.39,36.39,36.08,36.39,336670
2015-07-14,36.39,36.7,36.08,36.7,311610
2015-07-15,36.7,37.01,36.39,36.7,363400
2015-07-16,36.7,36.7,36.08,36.39,272910
2015-07-17,36.39,36.7,36.08,36.39,304130
2015-07-20,36.39,36.39,35.77,36.08,189980
2015-07-21,36.08,36.39,36.08,36.39,107860
2015-07-22,36.39,37.01,36.08,37.01,490550
2015-07-23,37.32,38.56,37.32,37.94,1141320
2015-07-24,38.25,38.25,37.63,37.94,406120
2015-07-27,37.63,37.94,37.32,37.94,325470
2015-07-28,37.94,38.25,37.63,37.63,341670
2015-07-29,37.63,37.94,37.32,37.63,275430
2015-07-30,37.63,37.63,37.01,37.01,220450
2015-07-31,37.01,37.63,36.7,37.32,403180
2015-08-03,37.32,37.32,36.7,37.01,270000
2015-08-04,37.01,37.01,36.39,36.39,502300
2015-08-05,36.71,37.29,36.71,37.1,433800
2015-08-06,37.29,38.06,37.1,37.48,492470
2015-08-07,37.68,38.64,37.48,38.64,609920
2015-08-10,39.42,41.35,39.42,41.35,954290
2015-08-11,41.74,42.12,40.58,40.58,438130
2015-08-12,40.19,40.58,39.42,39.8,714920
2015-08-13,39.8,40.58,39.42,40.58,612320
2015-08-14,40.58,41.35,40.19,40.58,471740
2015-08-17,40.58,40.58,39.42,39.8,387090
2015-08-18,39.8,40.19,39.03,39.8,510930
2015-08-19,39.42,40.19,39.03,40.19,387520
2015-08-20,39.8,40.19,39.42,39.42,282500
2015-08-21,38.64,39.03,37.87,39.03,696170
2015-08-24,38.45,38.45,36.33,36.52,1180510
2015-08-25,35.55,38.06,35.55,37.1,799280
2015-08-26,37.29,39.03,37.29,38.64,484130
2015-08-27,39.03,39.03,38.26,38.45,254220
2015-08-28,38.64,39.03,38.26,39.03,451290
2015-08-31,39.03,39.8,38.45,38.64,296400
2015-09-01,38.64,39.03,38.45,38.45,296390
2015-09-03,38.45,38.64,37.87,38.26,262480
2015-09-04,38.26,38.26,37.87,38.06,137720
2015-09-07,37.87,38.06,37.48,37.48,338230
2015-09-08,37.29,37.87,37.29,37.48,367250
2015-09-09,37.87,37.87,37.48,37.68,188690
2015-09-10,37.87,38.64,37.68,38.45,273840
2015-09-11,38.45,38.64,38.06,38.06,142810
2015-09-14,37.87,38.06,37.68,37.68,148920
2015-09-15,37.68,38.06,37.48,37.68,290770
2015-09-16,37.68,37.87,37.48,37.68,163800
2015-09-17,37.68,37.87,37.48,37.68,263860
2015-09-18,37.87,38.26,37.87,38.06,224860
2015-09-21,38.06,38.45,37.87,38.26,214630
2015-09-22,38.26,39.42,38.26,39.42,666280
2015-09-23,39.42,40.19,39.03,39.03,388170
2015-09-24,39.03,39.03,38.64,38.64,262400
2015-09-25,38.64,39.03,38.45,39.03,184590
2015-09-28,39.03,39.8,39.03,39.42,365490
2015-09-29,39.03,39.03,38.45,38.64,259210
2015-09-30,38.64,39.42,38.64,38.64,129690
2015-10-01,38.64,39.03,38.64,39.03,201320
